N  , D ,K,  v,pho, t,rper,batch,M_NT,V_NT,M_PCA,V_PCA,M_LS,V_LS,M_CW,V_CW,       M_SS,V_SS,M_BSS,V_BSS,CW1,ABSS1,SS1,PCA1,LS1,CW2,ABSS2,SS2,PCA2,LS2,CW3,ABSS3,SS3,PCA3,LS3,CW4,ABSS4,SS4,PCA4,LS4,CW5,ABSS5,SS5,PCA5,LS5
100,200,2,200,0.7,128,0.8,20,0,0,0.50203,3.0017e-06,11.612,0.034558,0.042041,0.00013593,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
100,400,2,400,0.7,128,0.8,20,0,0,0.5025,2.0418e-06,16.9,0.032175,0.031291,0.00018938,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
100,600,2,600,0.7,128,0.8,20,0,0,0.50238,1.6808e-06,20.857,0.056849,0.024893,8.7563e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
100,800,2,800,0.7,128,0.8,20,0,0,0.50265,1.1525e-06,24.329,0.064098,0.023882,9.1426e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
100,1000,2,1000,0.7,128,0.8,20,0,0,0.50251,9.3408e-07,27.305,0.03433,0.018385,3.1127e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
200,200,2,200,0.7,128,0.8,20,0,0,0.50266,1.1162e-06,11.655,0.051398,0.045258,0.00054776,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
200,400,2,400,0.7,128,0.8,20,0,0,0.50157,1.2586e-06,16.931,0.042153,0.028547,9.4848e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
200,600,2,600,0.7,128,0.8,20,0,0,0.50114,6.8135e-07,20.918,0.049581,0.028086,0.00012173,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
200,800,2,800,0.7,128,0.8,20,0,0,0.50128,4.5182e-07,24.305,0.065225,0.023695,0.00013115,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
200,1000,2,1000,0.7,128,0.8,20,0,0,0.50107,2.2865e-07,27.176,0.053023,0.019233,7.2351e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
300,200,2,200,0.7,128,0.8,20,0,0,0.50736,5.4615e-07,11.587,0.035031,0.042686,0.00050759,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
300,400,2,400,0.7,128,0.8,20,0,0,0.50035,7.1559e-07,16.862,0.040893,0.028829,9.5004e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
300,600,2,600,0.7,128,0.8,20,0,0,0.50064,2.6425e-07,20.99,0.051438,0.023325,7.0785e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
300,800,2,800,0.7,128,0.8,20,0,0,0.50052,4.4358e-07,24.298,0.036488,0.025057,9.1881e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
300,1000,2,1000,0.7,128,0.8,20,0,0,0.5007,1.3516e-07,27.332,0.039302,0.021253,0.00010721,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
400,200,2,200,0.7,128,0.8,20,0,0,0.51048,7.2042e-07,11.651,0.072172,0.044776,0.00044832,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
400,400,2,400,0.7,128,0.8,20,0,0,0.50194,5.9821e-07,16.904,0.072927,0.031964,0.00012032,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
400,600,2,600,0.7,128,0.8,20,0,0,0.50092,4.4518e-07,20.903,0.042784,0.026275,8.125e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
400,800,2,800,0.7,128,0.8,20,0,0,0.50044,3.5223e-07,24.29,0.038782,0.023151,7.7101e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
400,1000,2,1000,0.7,128,0.8,20,0,0,0.50056,1.7438e-07,27.181,0.077576,0.019989,7.3756e-05,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0
