N  , D ,K,  v,pho, t,rper,batch,M_NT,V_NT,M_PCA,V_PCA,M_LS,V_LS,M_CW,V_CW,       M_SS,V_SS,M_BSS,V_BSS,CW1,ABSS1,SS1,PCA1,LS1,CW2,ABSS2,SS2,PCA2,LS2,CW3,ABSS3,SS3,PCA3,LS3,CW4,ABSS4,SS4,PCA4,LS4,CW5,ABSS5,SS5,PCA5,LS5
100,200,2,200,0.7,128,0.8,20,0,0,1.002,1.1427e-09,159.83,36.497,0.10212,0.0012011,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
100,400,2,400,0.7,128,0.8,20,0,0,1.0016,3.0097e-10,317.7,82.011,0.077328,0.00075977,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
100,600,2,600,0.7,128,0.8,20,0,0,1.0014,1.0812e-10,475.81,135.17,0.076727,0.0011948,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
100,800,2,800,0.7,128,0.8,20,0,0,1.0013,1.3918e-10,638.41,147.1,0.068568,0.0010017,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
100,1000,2,1000,0.7,128,0.8,20,0,0,1.0013,1.3495e-10,798.07,155.4,0.054144,0.00050783,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
200,200,2,200,0.7,128,0.8,20,0,0,1.0014,4.194e-10,160.14,28.553,0.12565,0.0035322,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
200,400,2,400,0.7,128,0.8,20,0,0,1.001,7.3977e-11,320.26,36.445,0.078787,0.0015399,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
200,600,2,600,0.7,128,0.8,20,0,0,1.0008,5.135e-11,481.46,93.958,0.078505,0.0013638,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
200,800,2,800,0.7,128,0.8,20,0,0,1.0008,3.7458e-11,636.92,85.094,0.072437,0.0011559,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
200,1000,2,1000,0.7,128,0.8,20,0,0,1.0007,1.9595e-11,798.98,121.19,0.059805,0.00054844,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
300,200,2,200,0.7,128,0.8,20,0,0,1.0012,3.8091e-10,159.07,16.391,0.1127,0.002115,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
300,400,2,400,0.7,128,0.8,20,0,0,1.0008,3.7673e-11,321.12,31.307,0.084731,0.0016743,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
300,600,2,600,0.7,128,0.8,20,0,0,1.0007,3.7921e-11,478.72,82.968,0.072679,0.0012913,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
300,800,2,800,0.7,128,0.8,20,0,0,1.0006,1.412e-11,635.55,84.448,0.05299,0.00026745,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
300,200,2,200,0.7,128,0.8,20,0,0,1.0012,1.5386e-10,160.27,51.42,0.13438,0.0033785,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
300,400,2,400,0.7,128,0.8,20,0,0,1.0008,6.3882e-11,320.85,74.607,0.091065,0.0019192,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
300,600,2,600,0.7,128,0.8,20,0,0,1.0007,1.875e-11,479.68,81.183,0.0623,0.001225,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
300,800,2,800,0.7,128,0.8,20,0,0,1.0006,1.0307e-11,635.93,118.53,0.048025,0.00027672,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
300,1000,2,1000,0.7,128,0.8,20,0,0,1.0005,9.0261e-12,796.32,217.66,0.056653,0.00083298,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
400,200,2,200,0.7,128,0.8,20,0,0,1.0011,1.4737e-10,159.87,28.636,0.12442,0.0031439,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
400,400,2,400,0.7,128,0.8,20,0,0,1.0007,1.6649e-11,319.19,70.31,0.086208,0.0016474,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
400,600,2,600,0.7,128,0.8,20,0,0,1.0006,8.7199e-12,479.73,89.949,0.075879,0.0016298,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
400,800,2,800,0.7,128,0.8,20,0,0,1.0005,3.4415e-12,640.16,123.02,0.060391,0.00088391,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
400,1000,2,1000,0.7,128,0.8,20,0,0,1.0005,4.3488e-12,796.51,151.84,0.049322,0.00015771,100,0,100,0,20,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,20
